Line,Context,English,Chinese
2,001:SC#0001,GAME PAUSED. Press SPACEBAR to continue.,遊戲暫停。請按空白鍵繼續。
3,001:SC#0001,Insert disk %c and press ENTER to continue.,請插入磁片 %c 並按 ENTER 繼續。
4,001:SC#0001,"Unable to find %02d.LFL, (%c%d). Press ENTER.",找不到 %02d.LFL，(%c%d)。請按 ENTER。
5,001:SC#0001,"ERROR: Insert disk %c, (%c%d). Press ENTER.",錯誤：請插入磁片 %c，(%c%d)。請按 ENTER。
6,001:SC#0001,Are you sure you want to restart? (Y or N)Y,確定要重新開始嗎？(Y 或 N)Y
7,001:SC#0001,Are you sure you want to quit? (Y or N)Y,確定要離開嗎？(Y 或 N)Y
8,001:SC#0001,Save,儲存
9,001:SC#0001,Load,載入
10,001:SC#0001,Play,遊玩
11,001:SC#0001,Cancel,取消
12,001:SC#0001,Quit,離開
13,001:SC#0001,OK,好
15,001:SC#0001,Insert save/load game disk,請插入存檔/讀檔磁片
16,001:SC#0001,You must enter a name,您必須輸入名稱
17,001:SC#0001,The game was NOT saved,遊戲未儲存
18,001:SC#0001,The game was NOT loaded,遊戲未載入
19,001:SC#0001,Saving '%s',儲存 '%s'
20,001:SC#0001,Loading '%s',載入 '%s'
21,001:SC#0001,Name your SAVE game,命名您的存檔
22,001:SC#0001,Select a game to LOAD,選擇要載入的遊戲
23,001:SC#0001,You must have the LOOM Talkie CD to play this game.,必須有LOOM語音CD才能玩
24,001:SC#0005,interrupting the workers...,打斷工人...
25,001:SC#0005,interrupting the workers...,打斷工人...
26,001:SC#0005,NOT interrupting the workers...,不打斷工人...
27,001:SC#0005,Text WILL appear on the screen.,文字將顯示在螢幕上。
28,001:SC#0005,Text WILL NOT appear on the screen.,文字將不顯示在螢幕上。
29,001:SC#0005,(Function disabled.),(功能已停用)
30,001:SC#0005,(Normal speed. Full animation.),(正常速度。完整動畫)
31,001:SC#0005,(Fast speed. Limited animation.),(快轉。部分動畫)
32,001:SC#0005,LOOM\015 CD version (\255\004\041\000) (1.0)\255\00110 Feburary 1992,LOOM\015 CD版 (\255\004\041\000) (1.0)\255\0011992年2月10日
33,001:SC#0007,\255\006\000\064,\255\006\000\064
34,001:SC#0008,\255\006\000\064,\255\006\000\064
35,001:SC#0011,That thread's too high for me.,那條線太高了。
36,001:SC#0012,Maybe I should stand a bit closer.,也許該站近點。
37,001:SC#0013,It might help to point at something first ^,先指向某個東西可能會有幫助 ^
38,001:SC#0018,\016,\016
39,001:SC#0018,\017,\017
40,001:SC#0018,\018,\018
41,001:SC#0018,\019,\019
42,001:SC#0018,\020,\020
43,001:SC#0018,\021,\021
44,001:SC#0018,\022,\022
45,001:SC#0018,\023,\023
46,001:SC#0020,It's too noisy to spin any drafts in here!,這裡太吵無法編織任何織法！
47,001:SC#0022,It's too noisy to spin any drafts in here!,這裡太吵無法編織任何織法！
48,001:SC#0022,I need to choose my drafts more carefully.,我必須更謹慎選擇織法。
49,001:SC#0022,Hmm. I guess that isn't a draft.,我想那不是織法。
50,001:SC#0026,I don't think I spun that right.,我覺得我編織得不對。
51,001:SC#0026,That must not be the right draft.,那肯定不是正確的織法。
52,001:SC#0027,\016,\016
53,001:SC#0027,\017,\017
54,001:SC#0027,\018,\018
55,001:SC#0027,\019,\019
56,001:SC#0027,\020,\020
57,001:SC#0027,\021,\021
58,001:SC#0027,\022,\022
59,001:SC#0027,\023,\023
60,001:SC#0027,\016,\016
61,001:SC#0027,\017,\017
62,001:SC#0027,\018,\018
63,001:SC#0027,\019,\019
64,001:SC#0027,\020,\020
65,001:SC#0027,\021,\021
66,001:SC#0027,\022,\022
67,001:SC#0027,\023,\023
68,001:SC#0031, , 
69,001:SC#0035,I don't think I spun that right.,我覺得我編織得不對。
70,001:SC#0036,\016,\016
71,001:SC#0036,\017,\017
72,001:SC#0036,\018,\018
73,001:SC#0036,\019,\019
74,001:SC#0036,\020,\020
75,001:SC#0036,\021,\021
76,001:SC#0036,\022,\022
77,001:SC#0036,\023,\023
78,001:SC#0043,Heed the First Rule of Membership:\255\001You cannot save a demonstration game.,注意會員第一規則：\255\001無法儲存展示遊戲。
79,001:SC#0119,It didn't work.,沒用。
80,001:SC#0119,That must not be the right draft.,那肯定不是正確的織法。
81,001:SC#0119,That didn't help at all.,那一點幫助也沒有。
82,001:SC#0119,"No, No, that's not right.",不，那不對。
83,001:SC#0119,"Well, that draft didn't seem to do much good.",那個織法似乎沒什麼用。
84,001:SC#0119,"Well, that didn't work.",嗯，沒用。
85,001:SC#0119,I guess that draft isn't going to help me here.,我想織法在這裡幫不上忙。
86,001:SC#0119,I need to choose my drafts more carefully.,我必須更謹慎選擇織法。
87,001:SC#0121,assigning-drafts,分配織法
88,001:SC#0125,\009Passcode being stripped is \255\004\000\064,\009移除的密碼是 \255\004\000\064
89,002:ON#0079,leaf,葉子
90,002:OC#0079,The last leaf of autumn.,秋天的最後一片葉子。
91,002:ON#0081,sky,天
92,002:OC#0081,It's dawn.,破曉了。
93,002:OC#0081,It seems to have closed by itself.,它似乎自己關閉了。
94,002:OC#0081,I'd have to open it first.,我得先打開它。
95,002:OC#0081,There's enough light coming out of it already!,已經有足夠的光線透出來了！
96,002:OC#0081,"It didn't work. Oh, well, dawn's coming anyway.",沒用。算了，反正黎明要來了。
97,002:LS#0203,The End,劇終
98,002:LS#0205,\255\001Illustrated by Mark Ferrari,\255\001插畫 Mark Ferrari
99,002:LS#0206,Characters Designed and Animated by\255\001Gary Winnick and Steve Purcell,角色設計與動畫\255\001Gary Winnick 和 Steve Purcell
100,002:LS#0207,"Visual Effects Animation by\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001and Mark Ferrari","視覺特效動畫\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001和 Mark Ferrari"
101,002:LS#0208,Music of Tchaikovsky\255\001Transcribed by George Alistair Sanger\255\001and Gary Hammond,柴可夫斯基音樂\255\001改編 George Alistair Sanger\255\001和 Gary Hammond
102,002:LS#0209,AdLib]^ Soundtrack by\255\001Eric Hammond,AdLib]^ 原聲帶\255\001Eric Hammond
103,002:LS#0209,CMS Soundtrack by\255\001Eric Hammond,CMS 原聲帶\255\001Eric Hammond
104,002:LS#0209,Roland Stereo Soundtrack by\255\001George Alistair Sanger and David Warhol,Roland立體聲原聲帶\255\001George Alistair Sanger 和 David Warhol
105,002:LS#0209,PC/Tandy Soundtrack by\255\001Dave Hayes and David Warhol,PC/Tandy 原聲帶\255\001Dave Hayes 和 David Warhol
106,002:LS#0210,Additional Programming by\255\001Kalani Streicher,額外程式設計\255\001Kalani Streicher
107,002:LS#0211,SCUMM Story System by\255\001Ron Gilbert and Aric Wilmunder,SCUMM 故事系統\255\001Ron Gilbert 和 Aric Wilmunder
108,002:LS#0212,\255\001PC/Tandy Edition by Aric Wilmunder,\255\001PC/Tandy 版 Aric Wilmunder
109,002:LS#0213,Lead Tester\255\001Kirk Roulston,首席測試\255\001Kirk Roulston
110,002:LS#0214,"Testers\255\001Bret Barrett, Terry Bratcher, Tom Canham,\255\001Eric Christensen, Carla Green, Jon Gubman,\255\001Tony Hsieh, Tim Huber, Eric Liu","測試員\255\001Bret, Terry, Tom,\255\001Eric, Carla, Jon,\255\001Tony, Tim, Eric"
111,002:LS#0215,"Testers\255\001Maniac Maxo, Ezra Palmer-Persen,\255\001Alice Rosen, Jenny Sward, Aileen Treadwell\255\001and Judith Lucero Turchin","測試員\255\001Maniac, Ezra,\255\001Alice, Jenny, Aileen\255\001和 Judith"
112,002:LS#0216,\255\001Produced by Gregory D. Hammond,\255\001製作 Gregory D. Hammond
113,002:LS#0217,"Thanks to Noah Falstein, David Fox,\255\001Akila J. Redmer, James Wood, Andrea Siegel\255\001and Orson Scott Card","感謝 Noah, David,\255\001Akila, James, Andrea\255\001和 Orson"
114,002:LS#0218,\255\001Special Thanks to George Lucas,\255\001特別感謝 George Lucas
115,002:LS#0219,\255\001A Lucasfilm Games\015 Production,\255\001Lucasfilm Games\015 製作
116,002:LS#0220,"Created and Produced at Skywalker Ranch\255\001Marin County, California",於天行者山莊創作與製作\255\001加州馬林郡
117,002:LS#0221,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。
118,002:LS#0223,\255\001Illustrated by Mark Ferrari,\255\001插畫 Mark Ferrari
119,002:LS#0223,Characters Designed and Animated by\255\001Gary Winnick and Steve Purcell,角色設計與動畫\255\001Gary Winnick 和 Steve Purcell
120,002:LS#0223,"Visual Effects Animation by\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001and Mark Ferrari","視覺特效動畫\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001和 Mark Ferrari"
121,002:LS#0223,Music of Tchaikovsky\255\001Transcribed by George Alistair Sanger\255\001and Gary Hammond,柴可夫斯基音樂\255\001改編 George Alistair Sanger\255\001和 Gary Hammond
122,002:LS#0223,Lead Tester\255\001Kirk Roulston,首席測試\255\001Kirk Roulston
123,002:LS#0223,"Testers\255\001Bret Barrett, Terry Bratcher, Tom Canham,\255\001Eric Christensen, Carla Green, Jon Gubman,\255\001Tony Hsieh, Tim Huber, Eric Liu","測試員\255\001Bret, Terry, Tom,\255\001Eric, Carla, Jon,\255\001Tony, Tim, Eric"
124,002:LS#0223,"Testers\255\001Maniac Maxo, Ezra Palmer-Persen,\255\001Alice Rosen, Jenny Sward, Aileen Treadwell\255\001and Judith Lucero Turchin","測試員\255\001Maniac, Ezra,\255\001Alice, Jenny, Aileen\255\001和 Judith"
125,002:LS#0223,\255\001Produced by Gregory D. Hammond,\255\001製作 Gregory D. Hammond
126,002:LS#0223,Narrator -- Kenna Hunt\255\001\255\001GUILD OF WEAVERS\255\001The Nymph -- Lauren Jones\255\001Bobbin Threadbare -- Richard Seyd\255\001Elder Atropos -- David Case\255\001Elder Clothos -- Kenna Hunt\255\001Elder Lachesis -- Donada Peters\255\001Hetchel -- Pat Franklyn,旁白 -- Kenna Hunt\255\001\255\001紡織公會\255\001仙女 -- Lauren Jones\255\001Bobbin -- Richard Seyd\255\001長老 Atropos -- David Case\255\001長老 Clothos -- Kenna Hunt\255\001長老 Lachesis -- Donada Peters\255\001Hetchel -- Pat Franklyn
127,002:LS#0223,"GUILD OF SHEPHERDS\255\001The Shepherds -- Robert Emmet, David Case\255\001Pat Franklyn, Tom Whitworth\255\001Fleece -- Lauren Jones\255\001\255\001GUILD OF GLASSMAKERS\255\001Master Goodmold -- James Carpenter\255\001Stopper -- James Carpenter\255\001Flute -- Tom Whitworth","牧羊人公會\255\001牧羊人 -- Robert, David\255\001Pat, Tom\255\001Fleece -- Lauren Jones\255\001\255\001玻璃匠公會\255\001大師 Goodmold -- James\255\001Stopper -- James\255\001Flute -- Tom"
128,002:LS#0223,The Dragon -- Donada Peters\255\001\255\001GUILD OF BLACKSMITHS\255\001Rusty -- Tom Whitworth\255\001Forge Guard -- James Carpenter\255\001Stoke -- Tom Whitworth\255\001Master Edgewise -- Robert Emmet\255\001Foreman -- Tom Whitworth,龍 -- Donada Peters\255\001\255\001鐵匠公會\255\001Rusty -- Tom Whitworth\255\001守衛 -- James Carpenter\255\001Stoke -- Tom Whitworth\255\001大師 Edgewise -- Robert Emmet\255\001工頭 -- Tom Whitworth
129,002:LS#0223,GUILD OF CLERICS\255\001Bishop Mandible -- David Case\255\001Cob -- Tom Whitworth\255\001\255\001Chaos -- Lauren Jones\255\001\255\001Lady Cygna -- Lauren Jones,神職公會\255\001主教 Mandible -- David Case\255\001Cob -- Tom Whitworth\255\001\255\001混沌 -- Lauren Jones\255\001\255\001Cygna 女士 -- Lauren Jones
130,002:LS#0223,Directed By\255\001John Reiger\255\001\255\001\255\001Directors Assistant\255\001Susan Murphy Reiger,導演\255\001John Reiger\255\001\255\001\255\001助理導演\255\001Susan Murphy Reiger
131,002:LS#0223,Recorded By\255\001Andy Murdoch of earwax productions\255\001\255\001Music Adapted and Mixed By\255\001Andy Newell of earwax productions,錄音\255\001Andy Murdoch\255\001\255\001音樂改編與混音\255\001Andy Newell
132,002:LS#0223,"Recorded, Edited and Mixed At\255\001earwax productions, San Francisco, California\255\001\255\001Special Voice Effects and Editing By\255\001our two favorite andys",錄音、剪輯與混音於\255\001舊金山 earwax productions\255\001\255\001特殊語音特效與剪輯\255\001我們最愛的兩位 Andy
133,002:LS#0223,"Script Adapted By\255\001Sara Reeder\255\001and\255\001Orson Scott Card\255\001\255\001\255\001Additional Dialog and Editing By\255\001Jennifer Sward, Shelley Day and John Reiger","劇本改編\255\001Sara Reeder\255\001與\255\001Orson Scott Card\255\001\255\001\255\001額外對話與剪輯\255\001Jennifer, Shelley 和 John"
134,002:LS#0223,"Additional Animations By\255\001Anson Jew and Mike McGlaughlin\255\001\255\001\255\001Additional Backgrounds By\255\001Avril Harrison, Armand Cabrera,\255\001Anson Jew, and Mike McGlaughlin","額外動畫\255\001Anson Jew 和 Mike McGlaughlin\255\001\255\001\255\001額外背景\255\001Avril, Armand,\255\001Anson, 和 Mike"
135,002:LS#0223,"Lead Playtester -- Dave Popovich\255\001\255\001Playtest Team\255\001Chip Hinnenberg, Jo Ashburn,\255\001James Hampton, Justin Graham\255\001Howard Harrison, Patrick Sirk\255\001Ron Lussier, 'Preacher', Wayne Cline\255\001and Tabitha 'George' Tosti","首席遊戲測試 -- Dave Popovich\255\001\255\001測試團隊\255\001Chip, Jo,\255\001James, Justin\255\001Howard, Patrick\255\001Ron, Preacher, Wayne\255\001和 Tabitha"
136,002:LS#0223,Packaging and Marketing Coordination By\255\001Mary Bihr\255\001and Cynthia Wuthman,包裝與行銷協調\255\001Mary Bihr\255\001與 Cynthia Wuthman
137,002:LS#0223,Scripted By\255\001Jennifer Sward\255\001\255\001CD SCUMM System By\255\001Aric Wilmunder,編劇\255\001Jennifer Sward\255\001\255\001CD SCUMM 系統\255\001Aric Wilmunder
138,002:LS#0223,Produced By\255\001Shelley Day\255\001\255\001Project Lead By\255\001Jennifer Sward,製作人\255\001Shelley Day\255\001\255\001專案負責人\255\001Jennifer Sward
139,002:LS#0223,Special Thanks To\255\001Sylvester Pesek of Optical Media\255\001and\255\001Mike Kawahara of Commodore,特別感謝\255\001Optical Media 的 Sylvester Pesek\255\001與\255\001Commodore 的 Mike Kawahara
140,002:LS#0223,"Thanks to Noah Falstein, David Fox,\255\001Akila J. Redmer, James Wood, Andrea Siegel\255\001and Orson Scott Card","感謝 Noah, David,\255\001Akila, James, Andrea\255\001和 Orson"
141,002:LS#0223,\255\001Special Thanks to George Lucas,\255\001特別感謝 George Lucas
142,002:LS#0223,\255\001A Lucasfilm Games\015 Production,\255\001Lucasfilm Games\015 製作
143,002:LS#0223,"Created and Produced at Skywalker Ranch\255\001Marin County, California",於天行者山莊創作與製作\255\001加州馬林郡
144,002:LS#0223,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。
145,002:LS#0223,The End,劇終
146,002:SC#0044,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。
147,002:SC#0044, , 
148,002:SC#0044,LucasArts Entertainment Company,LucasArts 娛樂公司
149,002:SC#0044,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。
150,002:SC#0044,"Rise, son of Cygna.",起來，Cygna之子。
151,002:SC#0044,It is the dawn of your seventeenth year.,這是你十七歲的黎明。
152,002:SC#0044,The Elders await you in the Sanctuary.,長老們在聖所等你。
153,002:SC#0044,I've never known them to weave such\255\001a bright messenger nymph.,我從未見過他們編織出\255\001如此明亮的信使仙女。
154,002:SC#0044,I wonder why the Elders want to see me?,我想知道長老為何要見我？
155,002:SC#0044,I'd better get down to the village.,我最好去村子裡。
156,002:SC#0044,Press F9 to toggle text on screen ON/OFF,按F9切換文字開啟/關閉
157,003:ON#0090,sky,天
158,003:OC#0090,I like the view from the cliff better.,我比較喜歡懸崖上的景色。
159,003:OC#0090,Maybe I should stand a bit closer.,也許該站近點。
160,004:ON#0100,owl,鴞
161,004:OC#0100,He's fast asleep.,他睡熟了。
162,004:OC#0100,I can't even get owls to respond to my drafts.,我連鴞都不理我的織法。
163,004:ON#0101,thorns,荊棘
164,004:OC#0101,Ouch!,哎喲!
165,004:OC#0101,I don't think you can weave with thorns.,我想不能用荊棘紡織。
166,004:OC#0101,I don't think you can weave with thorns.,我想不能用荊棘紡織。
167,004:OC#0101,I don't think you can weave with thorns.,我想不能用荊棘紡織。
168,004:ON#0096,hole,洞
169,004:ON#0097,hole,洞
170,004:ON#0098,hole,洞
171,004:ON#0099,hole,洞
172,004:ON#0102,grave,墳墓
173,004:OC#0102,I can't read it.,我看不懂。
174,004:OC#0102,The owl's tailfeathers are covering the words.,鴞的尾羽遮住了字。
175,004:OC#0102,It doesn't seem to affect them at all.,這似乎對他們一點影響也沒有。
176,004:OC#0102,That draft doesn't seem to work in cemetaries.,那個織法在墓園似乎沒用。
177,004:ON#0122,sky,天
178,004:OC#0122,I like the view from the cliff better.,我比較喜歡懸崖上的景色。
179,004:OC#0122,Maybe I should stand a bit closer.,也許該站近點。
180,004:EN#0004,\025The day the sky is opened.\025,\025天空開啟之日。\025
181,004:LS#0200,There's an owl in there!,裡面有一隻鴞！
182,004:LS#0200,Another owl!,又有鴞！
183,004:LS#0200,I didn't know there were so many owls\255\001in these woods!,我不知道這些樹林裡\255\001有這麼多鴞！
184,004:LS#0200,All the holes are full now.,所有的洞都滿了。
185,004:LS#0200,That one is empty.,那個是空的。
186,004:LS#0200,There's an owl in there!,裡面有一隻鴞！
187,004:LS#0200,It's still empty.,它還是空的。
188,004:LS#0206,I guess that draft doesn't apply to holes.,我想那織法不適用於洞。
189,004:LS#0207,"No, wait: that hole's already wide open.",不，等等：那個洞已經敞開了。
190,004:LS#0208,Whatever lives in that hole may not appreciate this.,住在那洞裡的東西可能不會喜歡。
191,004:LS#0209,Just as well.\255\001Some things are better left alone.,也好。\255\001有些事還是別碰為妙。
192,006:ON#0136,cloth rack,布架
193,006:OC#0136,Grass green.  I hate that color!,草綠色。我討厭那顏色！
194,006:OC#0136,Even the Elders couldn't make it any more colorful.,連長老們也無法讓它更色彩繽紛。
195,006:OC#0136,White again. That's more like it.,又變白了。這樣好多了。
196,006:ON#0139,flask,燒瓶
197,006:ON#0130,dye pot,染鍋
198,006:OC#0130,Nothing. That draft doesn't seem to work on pots.,沒反應。織法對鍋子似乎沒用。
199,006:ON#0134,book,書
200,006:OC#0134,That's the Book of Patterns.\255\001I already know what's in it.,那是織圖之書。\255\001我已經知道裡面有什麼了。
201,006:OC#0134,"I'd have to open it, first.",我得先打開它。
202,006:OC#0134,I already know what's in it.,我已經知道裡面有什麼了。
203,006:ON#0135,heap,堆
204,006:OC#0135,Grass green.  I hate that color!,草綠色。我討厭那顏色！
205,006:OC#0135,This wool hasn't been dyed yet.,這羊毛還沒染色。
206,006:OC#0135,White again. That's more like it.,又變白了。這樣好多了。
207,006:ON#0132,wool,羊毛
208,006:OC#0132,Yuck! Green again!,噁！又是綠色！
209,006:OC#0132,This wool hasn't been dyed yet.,這羊毛還沒染色。
210,006:OC#0132,White again. That's more like it.,又變白了。這樣好多了。
211,006:ON#0131,wool,羊毛
212,006:OC#0131,Grass green.  I hate that color!,草綠色。我討厭那顏色！
213,006:OC#0131,Yuck! Green again!,噁！又是綠色！
214,006:OC#0131,There. It looks much better in white.,好了。白色看起來好多了。
215,006:LS#0200,Yuck! Green again!,噁！又是綠色！
216,006:LS#0200,There. It looks much better in white.,好了。白色看起來好多了。
217,006:LS#0200,The color changed!,顏色變了！
218,006:LS#0201,Grass green.  I hate that color!,草綠色。我討厭那顏色！
219,006:LS#0211,It's much too green already.,已經太綠了。
220,006:LS#0212,That's already as pale as I can make it.,那已經是我能弄出最淡的顏色了。
221,006:LS#0215,It's still dripping. What a mess!,還在滴水。真是一團糟！
222,006:LS#0215,Oops!,糟了!
223,008:ON#0181,tapestry,掛毯
224,008:OC#0181,"The threads describe the Creation of the World,\255\001and the passing of the Two Shadows.",這些線描述了創世，\255\001以及兩次陰影的消逝。
225,008:OC#0181,"The threads describe the Creation of the World,\255\001and the passing of the Two Shadows.",這些線描述了創世，\255\001以及兩次陰影的消逝。
226,008:ON#0182,tapestry,掛毯
227,008:OC#0182,"The pattern shows the entire\255\001history of the Weavers,\255\001back to the founding of the Great Guilds.",這個織圖展示了織者\255\001的完整歷史，\255\001追溯至大公會的建立。
228,008:OC#0182,"The pattern shows the entire\255\001history of the Weavers,\255\001back to the founding of the Great Guilds.",這個織圖展示了織者\255\001的完整歷史，\255\001追溯至大公會的建立。
229,008:ON#0183,tapestry,掛毯
230,008:OC#0183,The last section tells about\255\001the decline of the Guilds.,最後一部分講述了\255\001公會的衰落。
231,008:OC#0183,There's a Third Shadow gathering^,第三次陰影正在聚集^
232,008:OC#0183,^that's strange.\255\001The end is completely torn off!,^真奇怪。\255\001結尾完全被撕掉了！
233,008:LS#0204,There's the Long Tapestry.\255\001I don't remember it looking so old and frayed.,那是長掛毯。\255\001我不記得它看起來這麼舊和磨損。
234,008:LS#0205,Here's more of the Tapestry.,這是掛毯的更多部分。
235,008:LS#0208,Even the Elders couldn't make it any more colorful.,連長老們也無法讓它更色彩繽紛。
236,008:LS#0209,There isn't any color left to spin out.,沒有任何顏色可以編織出來了。
237,008:LS#0209,There isn't any color left to spin out.,沒有任何顏色可以編織出來了。
238,008:LS#0210,That draft must not work on tapestries.,那織法肯定對掛毯沒用。
239,008:LS#0217,The color changed!,顏色變了！
240,008:SC#0046,There's Hetchel! And the Elders\255\001don't look at all pleased with her.,是海切爾！\255\001長老們看起來對她非常不滿。
241,008:SC#0046,"You have heard the findings\255\001of this Council, Dame Hetchel.",妳已聽取本議會\255\001的調查結果，海切爾女士。
242,008:SC#0046,Have you anything to say in your own defense?,妳有什麼要為自己辯護的嗎？
243,008:SC#0046,"My Elders, my actions speak for themselves.",長老們，我的行為說明了一切。
244,008:SC#0046,This reckless defiance is intolerable.,這種魯莽的反抗是無法容忍的。
245,008:SC#0046,Any secret you share with Cygna's son\255\001might be turned against us!,妳與Cygna之子分享的任何秘密\255\001都可能對我們不利！
246,008:SC#0046,"His talent is awakening,\255\001and the power is very strong in him.",他的天賦正在覺醒，\255\001他體內的力量非常強大。
247,008:SC#0046,We dare not desert him now!,我們現在怎敢放逐他！
248,008:SC#0046,Stubborn old fool!\255\003Who are YOU to decide such things?!,固執的老傻瓜！\255\003妳是誰，能決定這些事？！
249,008:SC#0046,"Enough, Lachesis.",夠了，Lachesis。
250,008:SC#0046,"Hetchel, I am grieved to see your many\255\001years of service end in such disgrace.",海切爾，我很痛心看到妳多年的服務\255\001以如此恥辱的方式結束。
251,008:SC#0046,My destiny is yours to weave.,我的命運由諸位來編織。
252,008:SC#0046,"Hetchel, the fabric of your life\255\001has been woven by your own choices.",海切爾，妳生命之布\255\001是自己的選擇編織而成的。
253,008:SC#0046,Gaze once more upon the Great Loom\255\001if you would know your ultimate destiny.,若妳想知道最終命運，\255\001請再次凝視命運織機。
254,008:SC#0046,For that destiny is now upon you!,因為那命運現在降臨在妳身上！
255,008:SC#0046,A swan's egg! What does it mean?,天鵝蛋！這是什麼意思？
256,008:SC#0046,Something is deeply wrong.\255\001That draft has never failed before.,非常不對勁。\255\001那織法以前從未失敗過。
257,008:SC#0046,Something is deeply wrong.\255\001That draft has never failed before.,非常不對勁。\255\001那織法以前從未失敗過。
258,008:SC#0046,What is that noise? Outside!,外面那是什麼聲音？！
259,008:SC#0046,The Guild is under attack!,我們受到攻擊了！
260,008:SC#0046,Who dares to desecrate the\255\001Great Loom of the Weavers?,誰敢褻瀆織者的命運織機？
261,008:SC#0046,This is the work of the demon boy.,這是那惡魔男孩的傑作。
262,008:SC#0046,"We should kill him, while we still can!",我們應該趁還能時殺了他！
263,008:SC#0046,"Your name will be cursed forever, Son of Cygna ^\255\001Loom Child ^ Bobbin Threadbare!",你的名字將永遠受詛咒，Cygna之子 ^\255\001織機之子 ^ Bobbin Threadbare！
264,008:SC#0046,MY name? But I had nothing to do with this!,我？但…這跟我沒關係！
265,008:SC#0046,Wait! Where are you going?,等等！你們要去哪？
266,008:SC#0046,No explanations. No goodbyes.,沒有解釋。沒有道別。
267,008:SC#0046,"And once again, I'm left behind ^",又一次，我被留下了 ^
268,009:ON#0195,egg,蛋
269,009:OC#0195,"Well, that didn't work.",嗯，沒用。
270,009:ON#0196,distaff,織杖
271,009:OC#0196,level is \255\004\172\000,難度是 \255\004\172\000
272,009:OC#0196,It's heavier than it looks.,它比看起來重。
273,009:ON#0197,loom,織機
274,009:OC#0197,"Well, that didn't work.",嗯，沒用。
275,009:ON#0198,Hetchel,海切爾
276,009:OC#0198,"Her beak moves, but there's nothing --\255\001not a sound!",她的喙在動，但什麼也沒有 --\255\001一點聲音也沒有！
277,009:OC#0198,That's not helping ^,那沒什麼幫助 ^
278,009:OC#0198,That's not helping ^,那沒什麼幫助 ^
279,009:ON#0199,feather,羽毛
280,009:ON#0200,Dead One,死者
281,009:LS#0209,It's so quiet.   The echoes of the Loom\255\001have all died away.,好安靜。織機的迴聲都消失了。
282,009:LS#0209,Those are the same four threads\255\001spun by the Elders.,那是長老們\255\001紡出的同樣四根線。
283,009:LS#0209,Those are the four threads\255\001I heard a few moments ago.,那是幾分鐘前\255\001我聽到的四根線。
284,009:LS#0209,They're still echoing in the Loom!,它們還在織機中迴盪！
285,009:LS#0213,The egg ^ it's trying to open!,蛋 ^ 它試圖打開！
286,009:LS#0214,What's that sound?,那是什麼聲音？
287,009:LS#0214,The egg is opening!,蛋要開了！
288,009:LS#0216,"I advise you not to approach me too closely, Weaver boy.",我建議你別靠我太近，紡織男孩。
289,009:LS#0221,"Throw away that stick, young fool.",扔掉那根棍子，菜鳥。
